task,model,variant,accuracy,n,parse_rate,tool_call_rate,timestamp
hearsay,qwen25,solver,0.5428240740740741,94,0.6276595744680851,0.0,2026-04-19T06:16:29.908978
personal_jurisdiction,qwen25,solver,0.5,50,0.76,0.0,2026-04-19T06:22:20.180545
rule_qa,qwen25,solver,0.1763988072095428,50,1.0,0.0,2026-04-19T06:23:45.899780
textualism_tool,qwen25,solver,0.4444444444444444,107,0.2710280373831775,0.0,2026-04-19T06:28:16.208095
hearsay,qwen25,lane_solver,0.5263157894736842,94,0.4787234042553192,0.14893617021276595,2026-04-19T06:36:32.641100
personal_jurisdiction,qwen25,lane_solver,0.5,50,0.56,0.12,2026-04-19T06:40:31.601662
rule_qa,qwen25,lane_solver,0.09233657431468097,50,1.0,0.1,2026-04-19T06:44:30.208745
textualism_tool,qwen25,lane_solver,0.4888888888888889,107,0.4392523364485981,0.1588785046728972,2026-04-19T06:55:12.970009
